joke,how,why
“主持人你好，我正挤在1路公交车上，我想给前面靠窗的那位姑娘点一首歌，就是张学友的那首，你知道的，对对对，1路上有你，挤一点也愿意。,典故改写,其他
一女无故而腹中受孕，父母严诘其故，女曰：“并无外遇，止有某日偶遇某人对面而来，嘴上撞了一下，遂尔成胎。此外别无他事。”父沉吟良久，忽悟曰：“嗄，我晓得了，这人的卵袋，竟穿在嘴上的。,无逻辑和矛盾,搞错重点或是误会情节
老公：我刚刚逛街，看见四款包，不知道妳喜欢哪一个，所以我全买了！老婆：哇～（开心）快拿来我看看！（期待）老公：豆沙包、肉包、菜包、割包…..,⽂字游戏,意想不到的答案
有一个人，三十几岁了依然事业无成，工作也找不到，事业也做不成，都一直赚不到钱。于是，去找算命师算个命看看。「你啊，将会一直穷困僚倒，直到四十岁。」那个人听了，眼睛为之一亮，心想有转机了，马上问说：「然后呢？」「然后喔………」算命师看了一下他的命盘接著说：「然后你就习惯了。」,禁忌\秘密揭露,意想不到的答案
父亲训斥儿子：「爱迪生像你这么大时，已经成为一个发明家了。」儿子立刻回敬：「林肯像你这么大时，早已当上美国总统了。」,讽刺,另有含义
妻子站在秤上高兴地对丈夫说：「亲爱的，快来看我体重少了两公斤。」「亲爱的，那是因为妳还没有化妆。」,夸张,意想不到的答案
老师：你文章文字错一大堆，我要告诉你爸爸！学生：万万不可啊，他会生气的。老师：这是我的责任！学生：其实......这文章是我爸爸写的！,禁忌\秘密揭露,意想不到的答案
有一个养猪人喂猪吃剩饭剩菜，一天环保局的人来了问他：「给猪吃什么？」养猪人说；「剩饭菜ㄚ。」结果他被开了「虐待动物」罚单。之后养猪人就喂猪吃山珍海味，又有一个环保局的人来了，看到猪吃美食，就大骂养猪人：「非洲闹肌荒，居然给猪吃这么好」，又被开「浪费食物」罚单。最后养猪人想了一个办法，又一个环保局的人来了问：「猪吃什么？」养猪人说：「吃这也不是，吃那也不是，我就给牠500元让牠自己去吃ㄚ」,无逻辑和矛盾,意想不到的答案
"有位奶奶发Line给乖孙子：「你惨了啦，赶快去躲起来，你的老师因为你翘课，现在来我们家找你了！」乖孙回传：「奶奶，要赶快躲起来的是妳！因为我今天打电话向老师请假，说奶奶过逝了，所以今天不去上学！」结果奶奶已经跟老师开了门，老师很惊讶的说：「您老...........」奶奶也很惊讶的跟老师说：「你怎么看得到我，今天头七，我回来看看，不好意思，让老师您受惊了！」老师口吐白沫，顿时晕倒。
",无逻辑和矛盾,荒诞或是愚蠢的行径\话语\情况
3岁的儿子小韬最爱凑热闹，哪儿人多就往哪走。妈妈实在拉不住，气愤地对他说：“你就是爱凑热闹！” 小韬马上回答：“我才不爱臭热闹呢，我爱香热闹！,⽂字游戏,搞错重点或是误会情节
一应届生应聘，老板问他：“你想要什么工作环境？” 他答：“月薪10万元，包住，每年公费出国30天。” 老板：“我给你月薪20万元，送你一栋房子，每年公费出国60天。” 他惊讶地说：“这么好！该不会是跟我开玩笑吧？” 老板：“是你先跟我开玩笑的。,禁忌\秘密揭露,意想不到的答案
小胖做大扫除时偷吃红豆冰，被老师发现了。 老师不高兴地对小胖说：“是不是太闲了？” 小胖回答：“老师，不闲，是甜的！,⽂字游戏,搞错重点或是误会情节
"有位诗人感叹地说：「诗人为什么不像小说家、散文家一样称『家』呢？」旁边一人解释道：「诗人很浪漫，要到处去寻找灵感，不能被『家』拖累。」「不对！」诗人有些无奈地说：「因为一首诗卖不到几个钱，我们才没能力成『家』！」
",禁忌\秘密揭露,意想不到的答案
"今天，二蛋子上歌厅，点名某小姐陪，小姐要三百他给一千，小姐觉得遇到贵人； 次晚二蛋子又点该小姐，小姐更卖劲，又得一千； 第三晚再点，小姐说；“从没遇过你这样的好人,你是哪里的？” 二蛋子说：“X省X县。” 小姐欢呼：“咱是同乡耶！你出来做啥？” 二蛋子说：“出差，你妈托我捎三千块钱给你！
",桥界推论,意想不到的答案
妈妈：“孩子，你要和爷爷、奶奶、爸爸和我一起去野餐，给每人一瓶饮料。那么，一共要带几瓶可乐呢？” 儿子想了一下回答说：“4瓶。” 妈妈纠正他说：“错了，应该是5瓶。” 儿子说：“是4瓶，我要带一瓶啤酒。,桥界推论,意想不到的答案
问：有秃头的人适合看什么片？答：鬼片，因为会让他们头皮发毛,桥界推论,另有含义
"儿子问：“爸爸，我到底是从哪里来的？” 爸爸支支吾吾地向他讲解生殖的过程。 儿子听完，一头雾水地说：“怎么会这样？我同桌说他是从山东来的！
",桥界推论,搞错重点或是误会情节
小文的爸爸很吝啬，但是为了小文，对小文说：只要你考试有一科及格我就给你买电脑。 一天，小文高兴的跑回家对爸爸说：爸爸，我的考试成绩出了，你上次不是说我只要考试有一科及格你就给我买电脑吗。 小文说到这里时，爸爸心想：惨了，要大出血。 小文大声笑着说：告诉你一个好消息，你可以省省了,桥界推论,另有含义
妈妈在家敷着面膜时，同事小刘在楼下喊妈妈。女儿连忙把头伸出窗外，对小刘大声道：“阿姨，再等一会儿，我妈现在没脸见人！,⽂字游戏,另有含义
"有一天有只美丽的天鹅在外面散步，可是突然下了超大雨。于是牠就刚刚好看到旁边有个山洞，牠就跑进去躲雨了！但牠出来变成什么了？答案是：过洞鹅(过动儿)
",⽂字游戏,另有含义
"有一次，我在森林中遇到一个骑马的妇女，我停下来让路，可她也停下来，目不转睛地盯着我的面孔看，她说：‘我现在才相信你是我见过的最丑的人了。’ 我说：‘你大概讲对了，但是我又有什么办法呢？’ 她说：‘当然你已生就这副丑相是没有办法改变的，但你还是可以呆在家里不要出来嘛！
",羞辱,意想不到的答案
教授：「一个傻瓜提的问题，十个聪明人也回答不了。」大学生：「难怪我考试总不及格。」,桥界推论,另有含义
一天，小华回家，高兴的对妈妈说：「妈！老师在成绩单上写说我品学兼优！」妈妈正高兴，小华又接著说：「不过好奇怪唷！优没有人字旁耶！,桥界推论,搞错重点或是误会情节
"一位潜能开发培训班的讲师声音洪亮地讲道：「一个当他错了就认错的人，是一个勇敢的聪明人；但是，一个当他对了还认错的人就是.........」「就是结了婚的人！」一位男学员打断了讲师的话。
",禁忌\秘密揭露,意想不到的答案
"朋友单位有个高富帅在实习，单位有个姑娘一直追他。 某天，单位食堂吃饭，姑娘再次找对方表达爱意。 只见高富帅忽然搂住了旁边一个男人对着姑娘喊：“为了你，我都喜欢男人了，你还要我怎么样？！
",桥界推论,另有含义
"小美问妈妈：「你为什么会嫁给爸爸？」妈妈说：「因为我的眼睛瞎了。」小美又问爸爸：「我们家为什么这么穷？」爸爸说：「因为钱都拿去治你妈的眼睛了。」
",桥界推论,意想不到的答案
夏天活捉到蚊子该怎么办呢？1、当然要抚养他 2、送他上学 3、给他买房子 4、帮他娶媳妇 5、给他看孩子，不然你还能怎么办呢？ 毕竟它身上流的是你的血,桥界推论,意想不到的答案
"一位学监作例行巡视，来到一所农村学校。在仔细询问之后，他站起身来，环顾四周，说：“我是多么想成为一个小孩子，重新上学啊！” 停了片刻，为了加深印象，他又补充说道：“你们知道为什么我想这样做吗？” 沉默了片刻之后，一个小女孩举手回答：“因为您忘记了您过去所知道的一切。
",禁忌\秘密揭露,意外出糗
路边等人，一美女骑着电动车由于车速过快撞到了环卫阿姨，还骂人家眼瞎。结果震惊的一幕发生了，阿姨一把就把美女衣服撕烂了内衣也掉了下来，瞬间露出了两个大白兔，美女想打那阿姨，可是手又要捂住那个，又急又气。然后传来一阵阵高喊声：打她打她打她…,桥界推论,另有含义
"妻子：生活中女人需要男人，男人也需要女人。 丈夫：男人为什么需要女人呢？ 妻子：如果世界上没有女人，谁来给你们的裤子钉钮扣呢？ 丈夫：如果这个世界上没有女人，那么谁还需要裤子呢
",桥界推论,另有含义
"问：请问...糖果是公的还是母的？答：母的，因为..糖果放在桌上会""生""蚂蚁
",⽂字游戏,另有含义
"妻子：「如果我穿著比基尼泳衣出去的话，大家会有什么反应呢？」丈夫：「别人会以为我是看上妳的钱才和你结婚的。」
",讽刺,另有含义
"早上老板安排我统计客户订货金额，用word做成表格。 几个营销的同事围在我身后看客户的订货金额。 因为对word做表格不熟，有一个表格半天没弄好。 这时身后一个声音说：“看来你的word也不行啊。” 听到这话我也很愤恨的说：“哼！都是老板用不惯excel非要我用word做给他。” 转过头一看说话这人是老板！！！
",职业病描述,意外出糗
"在情人节的前两天，有一个男人，提著一大袋的卡片到了邮局准备要寄……！邮差看了一下袋子里的信，发现上面都是一颗一颗的爱心，而且，都喷著香香的香水。邮差不禁好奇，就问了寄信的男人：「总共有几封啊？」男人：「大概有五百多封吧！」邮差：「哇！这么多啊！都是你的女朋友吗？」男人：「不！这都是附近的街坊邻居啦！」邮差：「那里面都写些什么啊？」男人：「写一些很肉麻的话啦，挑逗意味十足的词啦！最后再署名『爱你的甜心』啰！」邮差：「那我就搞不懂啦！这些人也不是你的女朋友，你寄给他们干嘛？」男人低声地说道：「我......是附近唯一在办离婚官司的律师啦！」
",桥界推论,另有含义
"一个先走进火车车厢的人坐了个座位，又把手提箱放在身旁占了个座位。跟在他后面上车的另一个人，见那个座位空着，便客气地问：先生，这是你的皮箱子吗？ 啊，不，那是我朋友的。先上车的那个人说，瞧她在月台上跟人说话哩。 不一会，火车开了。后上车的那位乘客一把提起那只箱子扔出窗外。然后坐了下来。 你，你，你这是干什么？先上车的那个急得大叫起来。 噢，你朋友掉车了，后上车的那位乘客笑着说，可不能再让她把箱子也丢了
",桥界推论,意想不到的答案
"长大后，虎哥向心仪的虎MM求婚。 虎MM问：“你有房子吗？没房子免谈！” 虎哥说：“有啊，我的房子环境非常优美，而且我在家还有专人伺候呢！” 虎MM听了非常欢喜，问：“你的房子在哪个小区？” 虎哥说：“在动物园猛兽区。
",桥界推论,意想不到的答案
"某男一日闲来无事，去公园找乐子，遇见一算命先生，遂上前问卦。 算命先生盯着某男良久，道：“你是两个孩子的父亲。” 某男轻蔑的伸出三个指头“那是你以为，我是三个孩子的父亲！” 算命先生停顿半刻，轻蔑地说道“那只是你以为！
",桥界推论,另有含义
"疼老婆的最高境界就是：家里的事，她说了算，我说算了。
",⽂字游戏,另有含义
"学期结束儿子把成绩单交给父亲,父亲看了勃然大怒,往儿子脸上就是一耳光骂道：你在学校里为什么一天到晚打架?!儿子委屈地说：我没有啊!父亲听了，又是一巴掌说：你还嘴硬，成绩单上导师的评语明明写著"" 经常和同学打成一片""难道是老师冤枉你吗?
",⽂字游戏,搞错重点或是误会情节
"经纪人对剧作家说：“有好消息也有坏消息，你要先听哪一个？” 剧作家说：“先讲好消息吧。” 经纪人：“小黑很喜欢你的剧本，而且紧咬不放。” 剧作家说：“好极了，那坏消息呢？” 经纪人：“小黑是我家的那条狗。
",禁忌\秘密揭露,另有含义
"我认识一个演员，他在戏没有演出之前，就到台前来向观念鞠躬谢幕。 他为什么这样做呢？ 以免戏演完了再去谢幕，台下就没有观众了
",禁忌\秘密揭露,另有含义
去买水果，店主问还要点什么我：看草莓挺好，多少钱一斤？店主：15一斤。我：我能尝一个吗？店主：不能。。。知道味你就不买了。我。。。,禁忌\秘密揭露,另有含义
医生对病人说：你的病很重，不知道是否治得好。 病人哀求说：医生，请你想法子救我。复原后我愿意捐5万元钱作筹建新医院的基金。 几个月后，医生在街上碰见那个病人，便问道：身体怎样？ 那人回答：好极了。 我刚才打算找你，医生继续说，谈谈捐款给医院的事。 你说什么？ 医生提醒他：你说过复原后捐款5万元的。 真的？那人喊道：唉，你看，当时我病得多迷糊啊,桥界推论,另有含义
"某先生从来不帮太太做家务。 有一次妻子生日那天，他心血来潮地对太太说：你今天不用洗碗碟了。 太太喜出望外地说：真太好了，谢谢你的帮忙。 先生回答说：不，你留着明天再洗罢
",禁忌\秘密揭露,搞错重点或是误会情节
“服务员，点餐！”“先生，您要点什么？”“你们这最贵的红酒多少钱？”“18800。”“嗨，才18000嘛！来，给我来听可乐！”,桥界推论,另有含义
甲问：「你这一生中什么时候最快乐？」乙答：「我结婚那天。」甲再问：「那你什么时候最痛苦呢？」乙答：「结婚后的每一天。」,桥界推论,意想不到的答案
"爸爸为了培养小明的艺术修养，带他到音乐厅欣赏小提琴独奏会。一小时、两小时过去了，台上的演奏者依然欲罢不能，早已坐不住的小明大声问：爸！他要到什么时候才能把那个木盒子锯开
",桥界推论,搞错重点或是误会情节
"偷偷地告诉各位妹子，如果你有一位喜欢玩网游的男朋友， 如果他不怎么给你打电话叫你出来，但是，某一天， 他突然打电话给你叫你出来玩，不用想多了，肯定是服务器开始维护了
",禁忌\秘密揭露,意想不到的答案
"今天早上，我遇到了我以前的老板， 便微笑着对他说：“老板早啊！ 我真是要好好感谢你， 如果当初你没解雇我， 我就不会过上现在这样闲散舒适， 不劳而获的好日子。” 老板也笑了笑说不用客气， 然后在我面前的碗里丢了一块钱
",桥界推论,另有含义
老师常在课堂上教育大家说，当看到别的缺陷和不幸时，千万不要嘲笑。 一天，小布朗对老师说：今天校园里有一个孩子掉进水坑里，大家都大笑，只有我没有笑。 你做得对。老师表扬道，是谁掉进了水坑里呢？ 是我。布朗回答',禁忌\秘密揭露,意想不到的答案
"所谓的指腹为婚就是： 指着女朋友的肚子对爸爸妈妈说：爸，妈，我们要结婚了
",桥界推论,另有含义
高中时学校不让学生头发太长。有一次班主任叫大强出去讲话。 班主任：“你耳朵长的挺好看啊，咋用头发遮着，怕人看见啊？” 大强回复：“你腿也挺好看的，干嘛把它遮住？” 然后从此再也没见过大强。,桥界推论,另有含义
"公司里，甲乙丙三人同时追求一个女孩。在一次同事聚会当中，女孩不小心放了一个屁，为了不让女孩过于尴尬…甲就站起来承认：「对不起，屁是我放的。」女孩于是对他流露出感激的眼神。没多久她又不小心放了个屁，乙也想献殷勤，于是也站起来说屁是他放的，女孩同样感到很窝心。想不到没多久，女孩又放了第三个屁，这时丙想，绝不能让两人专美于前！于是抢著站起来大声说：「这个屁和她以后放的屁，通通算我的！」
",禁忌\秘密揭露,荒诞或是愚蠢的行径\话语\情况
儿子：「爸爸，星期五下午你有空吗？」爸爸：「什么事啊？」儿子：「学校要召开小型家长座谈会。」爸爸：「什么叫小型家长座谈会？」儿子：「就是只有训导主任、你和我参加。」,桥界推论,另有含义
"魏皮尔教士在敏尼芬士向印地安人传教，第一天，他要到临近村中去执行他的教务，于是很匆忙地走了，而将许多东西遗落在那个部族的酋长的屋中。「我离开后，这些东西可能安全吗？」他问著酋长。「喔！请你不必为它们担忧。」酋长答：「这儿在一百里之内是没有白人的。」
",桥界推论,另有含义
"我有一个学日语的同学，一次开车，不小心闯了红灯，Pol.ice就上来了，那小子一伸脑袋，BLABLABLA一串日语，Pol.ice就蒙了，比划了半天也没弄明白，眼看后面车堵成长龙了，Pol.ice说，算了，你走吧。 那小子喜滋滋地点火挂挡，Pol.ice一把摁住了：别的听不懂这就听懂了？给我下来
",禁忌\秘密揭露,意外出糗
"男：「你啥时要缴房租」女：「蛤？」男：「你住在我心里很久了。」
",桥界推论,意想不到的答案
"一天，姑姑对她班上的小朋友说（她是幼稚园老师）：你们一定要懂事喔！ 忽然有一个小朋友大声的说：老师，我还懂五呢
",⽂字游戏,搞错重点或是误会情节
甲，乙，丙三人到沙漠旅行，不久，他们不想再待在沙漠，于是求天神给他们3个愿望！甲：我要回家！乙：我也要回家！于是天神实现了他们的愿望！他们叮一声回到家里，但是..丙：我没有家，我想他们留下陪我！,桥界推论,意想不到的答案
"诸葛亮给小乔写信，信里夹了铜钱。 不久，诸葛亮去见周渝说，有金钱交易的性关系，是不是叫漂？周渝点头。 那我漂了你老婆小乔，诸葛亮说。 周渝大怒，马上回家问小乔：诸葛亮给你钱了？小乔说是。又问：和你有性关系？ 小乔点头道：前不久有信联系。 于是周渝吐血，气死
",⽂字游戏,另有含义
医生跟精神病人说：「通常有这种病的人都不会承认自己有病。」病人：「那医生你有没有病？」医生：「我当然没有。」,桥界推论,另有含义
有一天有一位潮男走在路上一个路人看到他便说：哇呜，你超会搭然后潮男就烧焦了,⽂字游戏,另有含义
"一对情侣结伴旅行。当他俩乘坐的火车穿过漫长的隧道出来以后，男的说：如果早知道隧道这么长，我就会给你一个吻！ 天哪！女的惊叫起来，刚才吻我的不是你吗
",桥界推论,另有含义
"今天下班回家走在路上， 见一漂亮妈妈在路边打一个小正太。。。 小正太嗷嗷的大声哭，心想这母亲也太狠了，怎么这样打自己的孩子？ 便想上前说说，刚走出一步， 又听那妈妈说：“在公车上拔老娘的衣服,扯老娘的胸罩，你TM挺会为大众服务阿！” 听完以后我走了，默默的
",其他,意想不到的答案
"一位演说家公开指责喝酒的坏处：「我希望所有的酒都在海底深处！」「我也是！」听众之中冒出一个声音。「先生，恭喜你！」演说家宣布：「我看得出来，你是一个有奉献精神的人。能否请问你从事什么职业？」「当然可以。我是一个深海潜水员。」
",桥界推论,另有含义
早起上班，路遇一哥们儿急匆匆从身边跑过。招呼他：“干嘛呢？” 答曰：“遛狗呢。” 不几分钟此哥们儿又急匆匆从身边跑回。问他：“怎么了？” 哥们儿淡定地说：“忘带狗了。,无逻辑和矛盾,荒诞或是愚蠢的行径\话语\情况
"说是有一年把外婆接到家里一起过年，外婆一直唠叨让我赶紧找女朋友结婚，说你看和你一般大的西门庆都有了西门子了，明年要给外婆搞个对象回来！ 我刚要接话，外婆又补充了一句：“男的女的都行！
",禁忌\秘密揭露,意想不到的答案
"甲：我们村里有条非常凶的狗，谁要是打它，它肯定对谁拼了命地狂咬。但是唯独我儿子打它时，它不光不咬我儿子，而且表现得很温顺。 乙：的确很奇怪，我想知道你儿子怎么打那狗的？ 甲：拿肉包子
",桥界推论,意想不到的答案
"新任巡抚是外乡人。一天，他操看家乡语言，对差役说：你给我买根竹竿。 差役误听成猪肝，便到外面买了猪肝，还自作主张买了一只猪心，晋见巡抚道：大人，猪肝买到了。 巡抚一见，不由大笑，怨他办事不用脑，说道：你的心在哪里？ 差役忙从衣袖里拿出猪心，答道：大人，心在这里
",⽂字游戏,搞错重点或是误会情节
"某天，喝的大醉，晕晕乎乎的来到了 自动电话亭，给家里打电话，让他们来接我。 “喂，谁啊”对面传来儿子的声音。 我： “儿子 猜猜爸是谁！” 儿子：“爷爷？” 我：“不对 再猜，给你点提示， 每天晚上和你妈睡在一起的那个！” 儿子：“哦！是叔叔啊” 眨巴眨巴眼睛，我是不是喝多了…
",禁忌\秘密揭露,另有含义
"女：「我初恋的男友，是卖牛肉面的，他和别人结婚后，我发誓从此不再吃牛肉面。」男：「哦！那妳第二位男友呢？」女：「他是开计程车的，他弃我而去后，我自己买了部摩托车，从此不再坐计程车。」男：「那我分手吧。」女：「为什么？」男：「因为我是卖衣服的啊！」
",桥界推论,另有含义
妈妈：火柴买回来了吗？ 儿子：买回来了。 妈妈：火柴好吗？ 儿子：很好，我每一根都试过，全部划得着,桥界推论,荒诞或是愚蠢的行径\话语\情况
"宿舍里，半夜起来上厕所，睡得迷迷糊糊，看到远处有一点红光，咦，又忘记关电源，随手去按。啊啊啊啊！艹，没烧完的蚊香。
",桥界推论,荒诞或是愚蠢的行径\话语\情况
"问：为什么狗喜欢在晚上做爱？答：犬夜叉
",⽂字游戏,另有含义
"图书馆里，“老奶奶，你坐吧！” “恩，乖孩子，谢谢啊！ 哎，乖孙子，快过来呀，奶奶给你占到座啦！
",桥界推论,意想不到的答案
"大明刚刚结婚不久。某夜，老婆正在厨房忙着晚餐。大明为了体贴老婆，想帮老婆做点家事。于是就对亲爱的老婆说：亲爱的，我能帮忙什么吗？老婆说：看你笨手笨脚的，找点简单的，就剥洋葱好了。大明想这个简单不过了。不过刚剥不久，大明就被呛得一把鼻涕一把泪。心想，这可不是那么简单，又不好意思去向老婆请教，只好打电话向老妈讨救兵。老妈说：这很容嘛，你在水中剥不就得了。大明于是按着老妈的方法，完成了老婆的任务，开心的不得了。隔天，大明打电话向老妈说：老妈，你的方法真不赖，不过好虽好，美中不足的就是要时常换气，好累人喔。
",桥界推论,荒诞或是愚蠢的行径\话语\情况
"大学里睡大头觉睡惯了，刚上班，天天迟到，几乎天天都要被经理批评，常常还是上班迟到最久的一个。 今天我对经理说“经理，我保证，我明天一定改！” 第二天，果然得到了经理的夸奖：“不错，今天你是迟到的人里面，到的最早的一个。
",桥界推论,其他
"在实弹射击训练中，有个士兵连发几枪都未射中靶心。教官怒气冲冲地夺过士兵的枪，声色俱厉地说：「笨蛋！你瞧我的。」他瞄准射击，可是子弹却飞到了靶外。他气势汹汹地转身向士兵吼道：「瞧，你就是这样打靶的！」
",桥界推论,意外出糗
"学生们不约而同地回答：“反哺！” “很好，”老师满意的点点头，又怕他们记得不深，又举了个列子，“你们小时候，爸爸妈妈给你们矫正牙齿，等爸爸妈妈老了，你们就得花钱给爸爸妈妈安假牙，这又叫什么？” “以牙还牙！”学生们异口同声的答道
",⽂字游戏,意想不到的答案
"问：球有几个面？答：两个里面跟外面
",⽂字游戏,意想不到的答案
"过年第一次到女友家，惊奇发现岳父是我高中时的地理老师啊！ 见到岳母我更震惊了，是我的高中同学啊。 最震惊大家的是是，岳母同时是我高中时的女友
",夸张,意想不到的答案
"问：左和右，谁喜欢独奏，谁又比较好？答：左solo，右sogood(左手锣，右手鼓)
",⽂字游戏,另有含义
"父亲对即将成为女婿的年轻人说：「如果我给女儿很多嫁妆，那你打算拿什么和我做交换？」年轻人考虑半天之后，才慢条斯理地回答：「收据。」
",讽刺,另有含义
"一女学生上课迟到，被罚跑圈，不久下起了大雨，忽然女生觉得雨停了，一看有一男生在她身边打着伞陪跑，女生脸上泛起绯红，却说，我有男朋友了，怎料那男生说：我不来，你男朋友就要来，我怎么忍心他受苦。
",桥界推论,意想不到的答案
"红衣主教驾车飞驰，一名员警骑摩托车追上把他拦住。主教问：「我的车开得太快了吗？」「不，主教大人。您的车不是开得太快，而是飞得太慢。」
",禁忌\秘密揭露,意外出糗
"一天，火车上有个顽童赶到查票员的面前说：先生，这火车上有两个旅客没有票，我知道哪两个是没有车票的。 查票员说：好呀！我要查这件事。 于是，查票员小心仔细地查看了每个人的票，但他查的旅客都有票，接着他看见报告这消息的孩子就问道：车上没有票的旅客在哪里？ 这孩子回答：他们在火车头，一个是司机，还有一个是火夫
",无逻辑和矛盾,搞错重点或是误会情节
"有一次，专考外国留学生的汉语托福试卷上出现了一道填空题：绞尽___汁。 试卷收上来，老师发现答案多种多样，但都没答对，如：绞尽墨汁；绞尽乳汁；绞尽果汁；绞尽汤汁。 老师在后来评讲试卷时，对这批未来的留华学生说：你们真是‘绞尽脑汁’也没写出‘绞尽脑汁’
",⽂字游戏,另有含义
"妹妹毕业后一直宅家里，天天好吃懒做。好不容易才给她找了个面试的机会，下班后见她还在家玩，我着急地问：“面试过了吗？”妹妹点了点头：“试过了，挺好吃的！”她指着桌上的方便面空盒子说道。
",⽂字游戏,搞错重点或是误会情节
"一个女性朋友和一个男性gay合租房子。 有一天晚上她很沮丧，那个gay很体贴地给她下了碗面。她突然觉得很温馨，就说：“要不我们就这么凑合过过算了。” 没想到gay脸色大变：“你没男人要，我可有的！
",羞辱,意想不到的答案
"一次宴会上，一位老板的前门拉链开了却浑然不知，被他的女秘发现，碍于客人在场，不便直说，提醒老板说老板，你的车库门开了。 老板不解喔，你看见我的宝马了吗？ 没有，只看见两个破轮胎。女秘回答
",羞辱,另有含义
"语文老师问道：为什么我们说书籍是我们最好的朋友呢？ 当我们对它感到乏味、厌烦的时候，我们就可以不看，把它搁下，无论搁多久，它都不会生气的
",桥界推论,另有含义
"酒馆里，一老一少两个男人聊天，年轻的说：“我女朋友要求很高，我每次十八般武艺都用上了都难满意，我都不知道怎么办了。” 老男人干下一杯威士忌，抬头很认真的说：“十八般武艺比不上十八般兵器啊”！
",桥界推论,另有含义
"某校军训，一天清晨早操，教官发现有几名女生站着没参加跑步，上前询问：“为什么不参加训练！” 女生答曰：“大姨妈来了。(指女性生理周期)” 小教官不明，斥曰：“我们有规定，军训期间不许亲属探视！
",⽂字游戏,搞错重点或是误会情节
"我的一个朋友就要去草原玩了。作为内蒙人，我给她讲解了一些基本的安全常识。比如当她孤身遭遇野狼的话，不要转头逃跑，人类永远没法和狼比速度。正确的做法应该是原地不动，与狼的目光正面接触，死死盯住，不要移开，能坚持多久就坚持多久，这样会死的比较有尊严一点。
",禁忌\秘密揭露,意想不到的答案
女儿：妈妈，我和他昨天领证了！ 妈妈：这么快就结婚！你了解他吗？ 女儿：我已经非常了解他了！他有100万的存款！ 妈妈：是吗？ 女儿：你看，这是他的存折！ 妈妈高兴的接过存折，仔细定睛观看。 突然，妈妈大喊起来：这哪是100万，明明是1万！你又把小数点后的2个零给数上了,禁忌\秘密揭露,意外出糗
"所谓的「指腹为婚」就是──指著女朋友的肚子，对自己的父母说：「爸、妈，我们决定要结婚了......」
",桥界推论,另有含义
"有个学生请教爱因斯坦逻辑学有什么用。 爱因斯坦问他：＂两个人从烟囱里爬出去，一个满脸烟灰，一个干干净净，你认为哪一个该去洗澡？＂ ＂当然是脏的那个。＂学生说。 ＂不对。脏的那个看见对方干干净净，以为自己也不会脏，哪里会去洗澡？
",禁忌\秘密揭露,意想不到的答案
"一日，男友给远方的女友写信，为了证明自己有多么的爱她，便在信的后面画上了一个心。然后又在心上画了一支剑，意思是剑串心，我真的很爱你，而后又画了一串剑穿心，是为了让其女友知道他又多么的爱她。又写上瞧我有多爱你。 不久他收到了女友的信，女友在信中问到你那串羊肉串是什么意思
",桥界推论,搞错重点或是误会情节
"掌柜招待客人，叫杨相上茶。杨相端着茶碗正递给客人，不料同时放了一个响屁。客人扭头看了掌柜一眼。掌柜当然也听见了，气得脸都变白了。客人走了以后，掌柜把杨相叫到柜桌前训斥道：今儿个给客人上茶，你怎么……可真凉，净给我弄这凉事，你算是凉透啦，你……意思是你净给我干这丢面子的事。杨相急忙辩白说：好我的掌柜哩，不凉，那茶是我刚烧好滚烫的开水冲下的
",无逻辑和矛盾,搞错重点或是误会情节
"失眠睡不着不要再数绵羊了，欧美国家数绵羊是因为羊Sheep和睡觉Sleep音似，属於潜意识暗示：中国人只会越数越乱，我们应该数：水饺，水饺，水饺。。。。
",⽂字游戏,另有含义
"有一天有一个人带著一条狗到唱片公司，他说他是这条狗的经纪人，并说他这条狗会唱歌跳舞云云，老板不相信，就叫小狗表演一次。当音乐响起，小狗跟著音乐载歌载舞，老板目瞪口呆的看著小狗，一边想著这一次捡到摇钱树了，就赶快拿出合同希望与狗签约，没想到忽然一条大狗冲进来，把小狗衔走了。老板问：「怎么回事？」经纪人无奈的表示：「唉！那是他妈妈，他妈妈希望他儿子成为一名医生，演艺圈太复杂了！」
",转化,意想不到的答案
"中午食堂吃饭，打了一份回锅肉， 小明一看里面都是土豆片子， 小明就问给自己打菜的人：“师傅。。肉呢？” 他还没说话呢，小明后面的一个二货接着说：“回锅里去了。” 小明：就你话多！
",⽂字游戏,荒诞或是愚蠢的行径\话语\情况
"妻子：婚前，你曾经是不是把我叫做天使、心肝、宝贝、亲爱的？ 丈夫：对。 妻子：为什么现在你不这样叫我了呢？ 丈夫：亲爱的，你应该感到高兴，现在我头脑正常多了
",讽刺,另有含义
"今早，我拿一小玩意正玩呢。 一四五岁小朋友跑来问我：“阿姨，你拿的什么呀？让我看看吧？” 我：“好”。 这时小朋友的妈妈来了。 小朋友对他妈妈说：“妈妈，你看，阿姨送给我的”。 那妈妈：还不快谢谢阿姨！” 当时我无语了，真想把那小朋友掐死！！那是我的东西啊
",其他,搞错重点或是误会情节
"先生回到家，气急败坏地跟太太说：「糟了！我得罪你爸了！」「怎么会？你今天不是跟我爸和他的客人一起吃饭吗？」太太问。「是啊，吃饭聊天的时候，我讲到一句狗仗人势，结果只讲到人字就被食物噎住，变成了狗丈人…」「真的？那你有没有赶快解释？」太太也很著急。「有啊，你爸就问我：你是在说我吗？这时我才把食物吞下去，说出了最后一个字：势（是）。」
",⽂字游戏,意外出糗
